Session,RC,RT,MC,LT,JP,AD,Volume(%)
14,M,0.429990085031022,2,Y,R,34,67
14,M,0.486168915071175,5,W,R,80,90
14,M,0.503160772772389,2,Y,R,34,67
14,M,0.436213983120979,4,Y,L,34,67
14,M,0.736534567200579,2,Y,R,34,67
14,M,0.606118138399324,3,Y,L,0,50
14,M,0.619771655197837,3,Y,R,0,50
14,M,0.777986058950773,3,W,L,0,50
14,M,0.595900910368073,3,Y,R,0,50
14,M,0.561232761479914,3,Y,R,0,50
14,M,0.462210437748581,3,Y,L,0,50
14,M,0.422194814178511,1,Y,R,80,90
14,M,0.42167923564557,2,Y,R,34,67
14,M,0.487071778392419,1,Y,R,80,90
14,M,0.470878526582965,5,Y,L,80,90
14,M,0.457465973624494,3,W,R,0,50
14,M,0.45298500735953,4,Y,L,34,67
14,M,0.529483520105714,3,W,R,0,50
14,M,0.419836553206551,5,W,R,80,90
14,M,0.457566024706466,1,W,L,80,90
14,M,0.403432683364372,1,Y,R,80,90
14,M,1.30321215033473,5,Y,L,80,90
14,M,0.423586515636998,1,Y,R,80,90
14,M,0.471014632086735,3,W,L,0,50
14,M,0.486444731548545,4,Y,L,34,67
14,M,0.463984616770176,3,Y,L,0,50
14,M,0.563713607538375,5,W,R,80,90
14,M,0.409725986231933,4,Y,L,34,67
14,G,0.904995342963957,1,W,L,80,90
14,G,1.05383679355145,4,Y,R,34,33
14,G,0.419288826131378,1,Y,R,80,90
14,G,0.522113090759376,4,Y,L,34,67
14,G,0.540365051216213,5,Y,L,80,90
14,G,0.527107832822367,4,Y,L,34,67
14,G,0.473200432650628,4,W,R,34,67
14,G,1.02005287984503,5,Y,L,80,90
14,G,1.20763993629953,4,Y,R,34,33
14,G,0.843932337826118,3,Y,L,0,50
14,G,0.693699486218975,2,W,L,34,67
14,G,0.503086560711381,1,Y,R,80,90
14,G,0.520177568134386,2,Y,R,34,67
14,G,0.445634708405123,1,Y,R,80,90
14,G,0.47744704503566,4,Y,L,34,67
14,G,0.577976143977139,4,Y,L,34,67
14,G,0.760216326656519,3,W,R,0,50
14,G,0.587413394227042,3,Y,R,0,50
14,G,0.65427996274957,1,Y,R,80,90
14,G,0.476210978580639,4,Y,L,34,67
14,G,0.474212060216814,2,Y,R,34,67
14,G,0.454456329054665,4,W,R,34,67
14,G,0.43771054293029,4,Y,L,34,67
14,G,0.590813328133663,4,Y,L,34,67
14,G,0.473389718477847,3,W,R,0,50
14,G,0.38958357120282,5,W,R,80,90
14,G,0.42436529159022,1,Y,R,80,90
14,G,0.485312622055062,2,Y,R,34,67
14,G,0.477785355891683,4,Y,L,34,67
14,G,0.455722741331556,3,Y,R,0,50
14,G,0.452121203023125,1,W,L,80,90
14,G,0.906242826662492,5,Y,L,80,90
14,G,0.455937866179738,1,W,L,80,90
14,G,0.387068473384716,5,W,R,80,90
14,G,0.388237839128124,5,Y,L,80,90
14,G,1.02021572574449,5,Y,L,80,90
14,G,0.536353393632453,3,W,L,0,50
14,G,0.460705164805404,1,W,L,80,90
14,G,0.653171889542136,5,Y,L,80,90
14,G,0.426644232793478,3,W,R,0,50
14,G,0.54632424961892,4,W,R,34,67
14,G,0.452801430161344,1,W,L,80,90
14,G,0.586351891353843,2,Y,R,34,67
14,G,0.436091398019926,4,W,R,34,67
14,G,0.453419162935461,4,Y,L,34,67
14,G,0.392339632831863,4,W,R,34,67
14,G,0.419352822762448,1,Y,R,80,90
14,G,0.374879067385336,5,W,R,80,90
14,G,0.495924345756066,1,W,L,80,90
14,G,0.485254033599631,2,W,L,34,67
14,G,0.506928762421012,3,W,L,0,50
14,G,0.422759066190338,2,W,L,34,67
14,G,0.419349517775117,4,W,R,34,67
14,G,1.0565375717415,1,Y,R,80,90
14,G,0.439680617739214,3,Y,R,0,50
14,G,0.876526154504973,5,Y,L,80,90
14,G,0.395700507768197,2,Y,R,34,67
14,G,0.54729471502651,4,Y,L,34,67
14,G,0.509131087950664,4,Y,L,34,67
14,G,0.47482738934923,3,Y,L,0,50
14,G,0.370230748434551,1,Y,R,80,90
14,G,0.388648559324793,5,W,R,80,90
14,G,0.462608839341556,4,Y,L,34,67
14,G,0.461373073339928,3,Y,R,0,50
14,G,0.45315776822099,2,Y,R,34,67
15,R,0.881404320523984,4,W,R,34,67
15,R,0.51988763032179,2,Y,L,34,33
15,R,0.861186792056003,5,Y,L,80,90
15,R,0.573736742481117,1,Y,R,80,90
15,R,0.719509359132303,1,Y,R,80,90
15,R,0.870088633837099,1,W,L,80,90
15,R,0.86925517531472,3,Y,L,0,50
15,R,0.61986870173962,1,Y,R,80,90
15,R,0.720185079470014,3,W,R,0,50
15,R,0.520089234744432,2,Y,R,34,67
15,R,0.536048132680321,4,Y,L,34,67
15,R,0.595801159751261,3,W,R,0,50
15,R,0.477334074452415,4,Y,L,34,67
15,R,0.607297118649171,3,W,R,0,50
15,R,0.436717243037037,4,Y,L,34,67
15,R,0.476612985608313,1,Y,R,80,90
15,R,1.22659255475764,5,Y,L,80,90
15,R,0.50123186010876,1,Y,R,80,90
15,R,0.795622690262348,3,Y,R,0,50
15,R,0.569618423819975,3,Y,R,0,50
15,R,0.562943845206178,5,Y,L,80,90
15,R,0.594710512874485,3,W,L,0,50
15,R,0.485764504401686,1,Y,R,80,90
15,R,0.437626716341697,4,W,R,34,67
15,R,0.627144488177123,3,Y,L,0,50
15,R,1.0752197818706,3,Y,R,0,50
15,R,0.447390259291524,2,Y,R,34,67
15,R,0.424273653216346,1,Y,R,80,90
15,R,0.506233813057747,1,W,L,80,90
15,R,0.552412042183732,1,Y,R,80,90
15,R,0.502985908722167,1,Y,R,80,90
15,R,0.502870234053489,3,Y,L,0,50
15,R,0.42648649460682,4,W,R,34,67
15,R,0.569425232100571,2,W,L,34,67
15,R,0.596928461977654,2,Y,R,34,67
15,R,0.553445001952923,3,W,L,0,50
15,R,0.535858846858673,2,Y,R,34,67
15,R,0.503454316017269,3,W,R,0,50
15,R,0.411164558483279,1,Y,R,80,90
15,R,0.909261785295712,2,Y,R,34,67
15,R,0.569546615389299,1,W,L,80,90
15,R,0.925945377520065,2,Y,R,34,67
15,R,0.659729892137193,2,W,L,34,67
15,R,0.592101373073319,5,Y,L,80,90
15,R,0.570441066009835,2,W,L,34,67
15,R,1.02766006670072,3,Y,L,0,50
15,R,0.592094462638443,5,W,R,80,90
15,R,0.792585704413796,3,Y,L,0,50
15,R,0.485735961301543,5,Y,L,80,90
15,R,0.52450470210033,4,W,R,34,67
15,R,1.17592434576204,2,W,L,34,67
15,R,0.487937986359384,4,W,R,34,67
15,R,0.655227593666496,4,Y,L,34,67
15,R,0.502611242977082,5,W,R,80,90
15,R,1.42661148333968,3,W,R,0,50
15,R,0.569467896523747,1,W,L,80,90
15,R,0.490359342607462,1,Y,R,80,90
15,R,0.485570411321078,3,W,R,0,50
15,R,0.510267103326214,4,Y,L,34,67
15,R,0.485920439864231,5,W,R,80,90
15,R,0.509954331039808,5,Y,L,80,90
15,R,1.32915151879342,3,Y,L,0,50
15,R,1.04001922903581,3,W,R,0,50
15,R,0.647633326322648,2,W,L,34,67
15,B,1.09229606706128,3,Y,R,0,50
15,B,0.769442658414164,3,Y,R,0,50
15,B,0.569395787639337,1,Y,R,80,90
15,B,0.612870234053389,5,W,R,80,90
15,B,0.744369497941932,1,Y,R,80,90
15,B,0.486252140732518,1,Y,R,80,90
15,B,0.640834660337134,4,Y,L,34,67
15,B,0.636473274644686,4,Y,L,34,67
15,B,0.469530090436592,1,Y,R,80,90
15,B,0.469699546314928,5,Y,L,80,90
